food_id,food,ub (g)
29,食パン,150
50,うどん(茹で),200
130,うるち米,150
184,そば,200
239,ジャガイモ,200
240,ジャガイモ(煮),200
242,ジャガイモ(電子レンジ),200
355,木綿豆腐,350
358,絹ごし豆腐,350
385,豆乳,210
476,えだまめ,100
477,えだまめ(茹で),100
478,えだまめ(冷凍),100
465,アスパラガス,100
529,キャベツ(生),600
530,キャベツ(茹で),540
531,キャベツ(油炒め),480
534,きゅうり,150
570,生姜,24
605,大根,250
606,大根おろし,100
630,玉ねぎ(生),200
631,玉ねぎ(水さらし),200
632,玉ねぎ　茹で,180
633,玉ねぎ　油炒め,140
669,トマト,400
672,ドライトマト,100
682,なす,160
683,なす　茹で,160
684,なす　油炒め,130
685,なす　天ぷら,130
708,にんじん　生,400
709,にんじん　茹で,360
710,にんじん　油炒め,280
711,にんじん　素揚げ,280
723,にんにく　生,16
724,にんにく　油炒め,13
727,ねぎ　生,30
728,ねぎ　ゆで,30
729,ねぎ　油炒め,28
751,ピーマン　生,140
752,ピーマン　油炒め,140
771,ブロッコリー　生,200
772,ブロッコリー　茹で　,220
774,ブロッコリー　焼き,200
775,ブロッコリー　油炒め,200
810,もやし,250
811,もやし　茹で,210
895,みかん,300
995,バナナ,350
1034,りんご,400
1056,しいたけ,45
1057,しいたけ　ゆで,50
1058,しいたけ　油炒め,40
1059,しいたけ　天ぷら,45
1068,しめじ　生,50
1069,しめじ　茹で,40
1070,しめじ　油炒め,45
1071,しめじ　素揚げ,50
1072,しめじ　天ぷら,50
1143,わかめ,50
1157,アジ,200
1159,アジ　水煮,180
1160,アジ　焼き,140
1216,しらす　生,30
1217,しらす　釜揚げしらす,30
1338,サバ　生,160
1339,サバ　水煮,135
1340,サバ　焼き,120
1341,サバ　フライ,180
1352,サバ缶　水煮,160
1353,サバ缶　味噌煮,160
1607,魚肉ソーセージ,90
1691,牛肉　かた,120
1709,牛肉　もも　生,150
1710,牛肉　もも　茹で,100
1711,牛肉　もも　焼き,100
1766,豚肉　ロース　生,100
1767,豚肉　ロース　ゆで,77
1768,豚肉　ロース　焼き,72
1773,豚肉　ばら　生,100
1774,豚肉　ばら　焼き,74
1838,ソーセージ　ぶた,80
1885,鶏肉　むね　生,250
1886,鶏肉　むね　焼き,200
1891,鶏肉　もも　生,300
1892,鶏肉　もも　ゆで,300
1893,鶏肉　もも　焼き,240
1922,卵,110
1923,卵　茹で,100
1924,卵　ポチードエッグ,100
1925,卵　目玉焼き,100
1943,牛乳,210
1977,カマンベール,40
1984,モッツアレラ,50
2296,食塩,2
