NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
0,アマランサス　玄穀,343,12.7,6,59.9,600,160,270,540,9.4,5.8,0.92,0,0,1.3,0,0.04,0.14,3.8,0.58,0,130,1.69,0,7.4,0
1,あわ　精白粒,346,11.2,4.4,67.6,300,14,110,280,4.8,2.5,0.49,0,0,0.6,0,0.56,0.07,6.4,0.18,0,29,1.83,0,3.3,0
2,あわ　あわもち,210,5.1,1.3,44.6,62,5,12,39,0.7,1.1,0.2,0,0,0.1,0,0.08,0.01,1.7,0.03,0,7,0.61,0,1.5,0
3,えんばく　オートミール,350,13.7,5.7,61.8,260,47,100,370,3.9,2.1,0.28,0,0,0.6,0,0.2,0.08,4.5,0.11,0,30,1.29,0,9.4,0
4,おおむぎ　七分つき押麦,343,10.9,2.1,63.3,220,23,46,180,1.3,1.4,0.32,0,0,0.2,0,0.22,0.07,5.8,0.14,0,17,0.43,0,10.3,0
5,おおむぎ　押麦　乾,329,6.7,1.5,67.2,210,21,40,160,1.1,1.1,0.22,0,0,0.1,0,0.11,0.03,5,0.13,0,10,0.4,0,12.2,0
6,おおむぎ　押麦　めし,118,2.2,0.5,24.6,38,6,10,46,0.4,0.4,0.08,0,0,0,0,0.02,0,1.3,0.03,0,3,0.13,0,4.2,0
7,おおむぎ　米粒麦,333,7,2.1,68.6,170,17,25,140,1.2,1.2,0.37,0,0,0.1,0,0.19,0.05,4,0.19,0,10,0.64,0,8.7,0
8,おおむぎ　大麦めん　乾,343,12.9,1.7,63.2,240,27,63,200,2.1,1.5,0.33,0,0,0,0,0.21,0.04,6.3,0.09,0,19,0.64,0,6.3,2.8
9,おおむぎ　大麦めん　ゆで,121,4.8,0.6,22.3,10,12,18,61,0.9,0.6,0.13,0,0,0,0,0.04,0.01,2,0.01,0,5,0.26,0,2.5,0.2
10,おおむぎ　麦こがし,368,12.5,5,63.8,490,43,130,340,3.1,3.8,0.41,0,0,0.5,0,0.09,0.1,11,0.09,0,24,0.28,0,15.5,0
11,キヌア　玄穀,344,13.4,3.2,67.1,580,46,180,410,4.3,2.8,0.47,1,0,2.6,0,0.45,0.24,4,0.39,0,190,0.95,0,6.2,0.1
12,きび　精白粒,353,11.3,3.3,70.9,200,9,84,160,2.1,2.7,0.38,0,0,0,0,0.34,0.09,6.2,0.2,0,13,0.95,0,1.6,0
13,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,59.8,440,26,82,350,3.2,2.6,0.38,0,0,1.2,0,0.41,0.09,8.9,0.35,0,38,1.03,0,14,0
14,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,64.6,390,36,110,290,2.9,1.7,0.32,0,0,1.2,0,0.49,0.09,6.7,0.34,0,40,1.07,0,11.2,0
15,こむぎ　［玄穀］　輸入　硬質,332,13,3,58.5,340,26,140,320,3.2,3.1,0.43,0,0,1.2,0,0.35,0.09,8,0.34,0,49,1.29,0,11.4,0
16,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,74.1,110,20,12,60,0.5,0.3,0.08,0,0,0.3,0,0.11,0.03,2.4,0.03,0,9,0.53,0,2.5,0
17,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,72.9,130,23,30,77,0.9,0.7,0.18,0,0,1,0,0.21,0.04,2.9,0.09,0,14,0.62,0,2.6,0
18,こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,73.2,100,17,18,64,0.5,0.5,0.11,0,0,0.3,0,0.1,0.03,2.4,0.05,0,8,0.47,0,2.8,0
19,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,73,110,24,26,80,1.1,0.6,0.14,0,0,0.8,0,0.22,0.04,3.1,0.07,0,12,0.66,0,2.1,0
20,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,70.1,89,17,23,64,0.9,0.8,0.15,0,0,0.3,0,0.09,0.04,3.1,0.06,0,16,0.77,0,2.7,0
21,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,69.5,86,21,36,86,1,1,0.19,0,0,0.5,0,0.13,0.04,3.6,0.08,0,18,0.93,0,2.1,0
22,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,58.6,330,26,140,310,3.1,3,0.42,0,0,1,0,0.34,0.09,8.5,0.33,0,48,1.27,0,11.2,0
23,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,72.7,210,64,31,320,1,0.7,0.13,1,0.1,0.6,1,0.21,0.03,3.3,0.07,0.1,17,0.41,0,2.8,3.7
24,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,74.2,230,100,12,170,0.5,0.3,0.07,9,0.1,0.5,1,0.1,0.08,2.2,0.04,0.1,10,0.48,0,1.8,1
25,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,68.6,280,110,39,130,1.2,0.7,0.1,5,0,0.3,2,0.15,0.07,2.8,0.12,0,26,0.33,0,2.6,9.7
26,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,74.6,160,140,19,120,0.6,0.5,0.12,1,0,0.3,0,0.12,0.99,2.7,0.06,0,12,0.35,0,2.5,0.5
27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,136,3.3,0.5,29.6,67,84,6,51,0.2,0.1,0.04,3,0,0.1,0,0.04,0.16,1,0.02,0,3,0.19,0,1,0.2
28,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,34.3,93,100,8,63,0.3,0.1,0.04,0,0,7.6,81,0.05,0.14,1.3,0.03,0,4,0.21,0,3.3,0.2
29,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,44.1,86,22,18,67,0.5,0.5,0.09,0,0,0.4,0,0.07,0.05,2.6,0.03,0,30,0.42,0,4.2,1.2
30,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,47.9,93,26,20,77,0.5,0.6,0.1,0,0,0.4,0,0.07,0.05,2.9,0.03,0,30,0.45,0,4.6,1.3
31,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,40.4,78,20,16,61,0.4,0.4,0.08,0,0,0.3,0,0.06,0.05,2.5,0.04,0,17,0.3,0,3.8,1.1
32,こむぎ　［パン類］　角形食パン　耳,273,9.7,4.5,46.1,92,23,18,73,0.5,0.6,0.1,1,0,0.4,0,0.06,0.06,2.7,0.05,0,27,0.37,0,4.7,1.3
33,こむぎ　［パン類］　食パン　リーンタイプ,246,8,3.7,46.4,67,12,16,46,0.6,0.6,0.1,0,0.3,0.4,0,0.1,0.05,1.9,0.04,0,28,0.54,0,2,1.3
34,こむぎ　［パン類］　食パン　リッチタイプ,256,7.8,6,44.9,88,25,15,62,0.6,0.7,0.09,28,0.1,0.3,2,0.09,0.09,2.1,0.05,0.1,42,0.51,0,1.7,1.1
35,こむぎ　［パン類］　山形食パン　食パン,246,7.8,3.5,46.8,76,18,16,51,0.6,0.6,0.1,0,0,0.4,0,0.08,0.06,2.1,0.05,0,34,0.54,0,1.8,1.3
36,こむぎ　［パン類］　コッペパン,259,8.5,3.8,48.5,95,37,24,75,1,0.7,0.12,0,0,0.4,0,0.08,0.08,2.2,0.04,0,45,0.63,0,2,1.3
37,こむぎ　［パン類］　乾パン,386,9.5,4.4,76.8,160,30,27,95,1.2,0.6,0.18,0,0,1.1,0,0.14,0.06,2.8,0.06,0,20,0.41,0,3.1,1.2
38,こむぎ　［パン類］　フランスパン,289,9.4,1.3,55.8,110,16,22,72,0.9,0.8,0.14,0,0,0.1,0,0.08,0.05,2.9,0.04,0,33,0.45,0,2.7,1.6
39,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,49,190,16,40,130,1.4,1.3,0.18,0,0,0.3,0,0.16,0.06,2.7,0.09,0,34,0.46,0,5.6,1.2
40,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,41.9,140,14,51,120,1.3,0.4,0.18,0,0,0.8,0,0.17,0.07,3.7,0.13,0,49,0.67,0,4.5,1
41,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,50,210,32,23,86,0.9,0.6,0.15,0,0,0.4,0,0.11,0.05,2.8,0.07,0,33,0.42,0,2.2,1
42,こむぎ　［パン類］　ロールパン,309,10.1,9,48.6,110,44,22,97,0.7,0.8,0.12,1,0.1,0.5,0,0.1,0.06,3.1,0.03,0,38,0.61,0,2,1.2
